iter	RMSE
2797	0.0851730358
2798	0.08516707348
2799	0.08516330246
2800	0.0851558683
2801	0.08515010789
2802	0.08514979587
2803	0.08513980237
2804	0.08513480379
2805	0.08513343154
2806	0.08511773814
2807	0.08510598177
2808	0.08510163477
2809	0.08509776285
2810	0.08509053907
2811	0.0850813323
2812	0.08507525369
2813	0.08507157731
2814	0.08506794684
2815	0.08505854887
2816	0.08504797847
2817	0.0850388349
2818	0.0850273777
2819	0.08502560333
2820	0.08501562378
2821	0.08500872494
2822	0.0850032526
2823	0.08499663667
2824	0.08498643605
2825	0.08497463529
2826	0.08496954795
2827	0.08496010013
2828	0.08495334628
2829	0.08494114222
2830	0.08493652384
2831	0.08492319145
2832	0.08491356543
2833	0.08490269433
2834	0.08490017097
2835	0.08488066507
2836	0.08487547545
2837	0.08486516373
2838	0.08485858481
2839	0.08485792759
2840	0.08485182508
2841	0.0848407446
2842	0.08482267684
2843	0.08482166437
2844	0.08481304764
2845	0.08481225718
2846	0.08480797648
2847	0.08480033127
2848	0.08479922006
2849	0.08479775361
2850	0.08479078725
2851	0.084781113
2852	0.08476514069
2853	0.08476305388
2854	0.08474563675
2855	0.08473675808
2856	0.08473156085
2857	0.08472277984
2858	0.08471476532
2859	0.08470744339
2860	0.08469991899
2861	0.0846934892
2862	0.08468336054
2863	0.08467145875
2864	0.08466066727
2865	0.08465359447
2866	0.0846401165
2867	0.08463425987
2868	0.08462458098
2869	0.08461509458
2870	0.08460378321
2871	0.08458893459
2872	0.08458514959
2873	0.08457598971
2874	0.08456427635
2875	0.08456395578
2876	0.08455465759
2877	0.08454914581
2878	0.08453957548
2879	0.08452760425
2880	0.08452591376
2881	0.08451950021
2882	0.08450764188
2883	0.08448960489
2884	0.08448301453
2885	0.08447812745
2886	0.08446873396
2887	0.0844588952
2888	0.08445473548
2889	0.08444480826
2890	0.08443993271
2891	0.08443980694
2892	0.08442665482
2893	0.08442622779
2894	0.0844251219
2895	0.0844164265
2896	0.08440607382
2897	0.08440213467
2898	0.08438934894
2899	0.08438073237
2900	0.08437170244
2901	0.08435731034
2902	0.0843520363
2903	0.08434487981
2904	0.0843421188
2905	0.084335117
2906	0.08432961299
